MEDIDAS#es,MEDIDAS_CODE,TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,OBS_VALUE,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Cataluña,ES51,2001,2001,20953.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Cataluña,ES51,2001,2001,132653412.0,,,
Población a 1 de julio,POB_1_JULIO,Extremadura,ES43,2001,2001,1058.4,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Extremadura,ES43,2001,2001,2.9034057575,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Extremadura,ES43,2001,2001,10881.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Extremadura,ES43,2001,2001,11516186.0,,,
Población a 1 de julio,POB_1_JULIO,Castilla - La Mancha,ES42,2001,2001,1756.6,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Castilla - La Mancha,ES42,2001,2001,4.3398855102,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Castilla - La Mancha,ES42,2001,2001,13459.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Castilla - La Mancha,ES42,2001,2001,23641769.0,,,
Población a 1 de julio,POB_1_JULIO,Castilla y León,ES41,2001,2001,2459.0,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Castilla y León,ES41,2001,2001,2.1893596305,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Castilla y León,ES41,2001,2001,15466.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Castilla y León,ES41,2001,2001,38031539.0,,,
Población a 1 de julio,POB_1_JULIO,Comunidad de Madrid,ES30,2001,2001,5405.0,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Comunidad de Madrid,ES30,2001,2001,4.3579197486,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Comunidad de Madrid,ES30,2001,2001,23049.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Comunidad de Madrid,ES30,2001,2001,124576514.0,,,
Población a 1 de julio,POB_1_JULIO,Aragón,ES24,2001,2001,1203.2,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Aragón,ES24,2001,2001,2.9044283084,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Aragón,ES24,2001,2001,17934.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Aragón,ES24,2001,2001,21577543.0,,,
Población a 1 de julio,POB_1_JULIO,La Rioja,ES23,2001,2001,276.2,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,La Rioja,ES23,2001,2001,2.6392004495,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,La Rioja,ES23,2001,2001,18985.0,,,
Importe a precios de mercado,GDP_PRODUCTION,La Rioja,ES23,2001,2001,5242948.0,,,
Población a 1 de julio,POB_1_JULIO,Comunidad Foral de Navarra,ES22,2001,2001,554.2,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,Comunidad Foral de Navarra,ES22,2001,2001,2.9138390872,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,Comunidad Foral de Navarra,ES22,2001,2001,21506.0,,,
Importe a precios de mercado,GDP_PRODUCTION,Comunidad Foral de Navarra,ES22,2001,2001,11918713.0,,,
Población a 1 de julio,POB_1_JULIO,País Vasco,ES21,2001,2001,2082.5,,,
Índices de volumen encadenados. Tasa de variación anual,INDICES_VOLUMEN_ENCADENADO_TVA,País Vasco,ES21,2001,2001,3.3105923732,,,
Importe a precios de mercado per cápita,GDP_PRODUCTION_PC,País Vasco,ES21,2001,2001,20934.0,,,
Importe a precios de mercado,GDP_PRODUCTION,País Vasco,ES21,2001,2001,43595419.0,,,
